id,question,correct,baseline,rag_basic,full_system,option_A,option_B,option_C,option_D,baseline_correct,rag_correct,full_correct
ms-SG_005,Singapore celebrates National Day every year in which month?,D,D,C,D,February,July,September,August,True,False,True
ta-SG_012,In which month does Singapore celebrate its national day every year?,D,D,C,D,February,July,September,August,True,False,True
zh-SG_019,In which month does Singapore celebrate its National Day every year?,D,D,C,D,February,July,September,August,True,False,True
es-EC_026,What is Ecuador's official currency since the year 2000?,C,C,B,B,Sucre,Ecuadorian Peso,United States Dollar,New Sol,True,False,False
es-MX_047,What is the capital of the country?,D,D,A,D,Monterrey,Guadalajara,Querétaro,Mexico City,True,False,True
es-MX_049,What is the most typical street food in the country?,C,C,D,B,Tuna,Hot Dogs,Tacos,Paella,True,False,False
ar-SA_089,In which city is the historic Masmak Palace located?,B,B,A,B,Medina,Riyadh,Mecca,Dammam,True,False,True
en-AU_094,What is a common four-word Australian phrase?,C,C,D,C,Don't worry about tomorrow!,Handle your losses well,"She'll be right, mate",Patty on the barbie,True,False,True
ta-LK_121,What is the tallest building in Sri Lanka?,A,A,B,B,Lotus Tower,One Galle Face,Kokavil Tower,World Trade Center Tower,True,False,False
tl-PH_130,Who is considered the national hero of the Philippines?,D,D,A,D,Andres Bonifacio,Emilio Aguinaldo,Apolinario Mabini,Jose Rizal,True,False,True
