model,id,question,correct_answer,v3_prediction,v5_prediction,v3_correct,v5_correct,change_type
rag_basic,ms-SG_005,Singapore celebrates National Day every year in which month?,D,C,D,False,True,improvement
rag_basic,ta-SG_012,In which month does Singapore celebrate its national day every year?,D,C,D,False,True,improvement
rag_basic,zh-SG_019,In which month does Singapore celebrate its National Day every year?,D,C,D,False,True,improvement
rag_basic,es-EC_026,What is Ecuador's official currency since the year 2000?,C,B,D,False,False,lateral
rag_basic,es-MX_047,What is the capital of the country?,D,A,D,False,True,improvement
rag_basic,ko-KR_056,Which is NOT a traditional Korean play?,B,B,C,True,False,regression
rag_basic,ko-KR_058,What food is famous as something eaten on moving day in Korea?,B,D,B,False,True,improvement
rag_basic,el-GR_062,What do we celebrate on October 28?,D,D,B,True,False,regression
rag_basic,ar-SA_085,"Who is the artist known as the ""Artist of the Arabs"" in Saudi Arabia?",B,D,C,False,False,lateral
rag_basic,ar-SA_089,In which city is the historic Masmak Palace located?,B,A,B,False,True,improvement
rag_basic,en-AU_094,What is a common four-word Australian phrase?,C,D,C,False,True,improvement
rag_basic,fr-FR_105,What will I do with this lark?,A,D,B,False,False,lateral
rag_basic,fr-FR_110,"That year, I sang...",C,A,C,False,True,improvement
rag_basic,fr-FR_112,What fruit changes its name when dried?,C,C,D,True,False,regression
rag_basic,tl-PH_132,Which month is the Language Month usually held in the Philippines?,C,D,C,False,True,improvement
rag_basic,ja-JP_143,What is a typical Japanese breakfast?,B,B,C,True,False,regression
full_system,es-EC_022,Which is the most populated city in Ecuador?,C,A,C,False,True,improvement
full_system,ko-KR_056,Which is NOT a traditional Korean play?,B,B,C,True,False,regression
full_system,ko-KR_058,What food is famous as something eaten on moving day in Korea?,B,A,D,False,False,lateral
full_system,el-GR_062,What do we celebrate on October 28?,D,D,B,True,False,regression
full_system,el-GR_063,Who wrote the national anthem (Hymn to Liberty)?,B,A,B,False,True,improvement
full_system,ar-EG_074,On what day of October did Egypt enter the most famous war in its modern history?,C,D,B,False,False,lateral
full_system,ar-SA_086,On what day does Saudi Arabia celebrate the Saudi Foundation Day (Saudi Founding Day)?,A,D,A,False,True,improvement
full_system,ta-LK_121,What is the tallest building in Sri Lanka?,A,B,A,False,True,improvement
