item_index,question,country,intent,source,query,results_count,status,titles_found
0,What is the common acronym for public housing flats where the majority of Singaporeans live?,SG,infrastructure_transportation,wikipediaapi,common acronym public housing flats Singapore,0,API_CALL,
0,What is the common acronym for public housing flats where the majority of Singaporeans live?,SG,infrastructure_transportation,wikivoyageapi,common acronym public housing flats Singapore,0,API_CALL,
0,What is the common acronym for public housing flats where the majority of Singaporeans live?,SG,infrastructure_transportation,wikidata,common acronym public housing flats Singapore,0,API_CALL,
0,What is the common acronym for public housing flats where the majority of Singaporeans live?,SG,infrastructure_transportation,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
0,What is the common acronym for public housing flats where the majority of Singaporeans live?,SG,infrastructure_transportation,wikivoyageapi,SG,0,API_CALL,
0,What is the common acronym for public housing flats where the majority of Singaporeans live?,SG,infrastructure_transportation,wikidata,Singapore,0,API_CALL,
1,Which political party has been the governing party of Singapore since 1959?,SG,government_politics,wikipediaapi,political party governing party singapore Singapore,0,API_CALL,
1,Which political party has been the governing party of Singapore since 1959?,SG,government_politics,wikivoyageapi,political party governing party singapore Singapore,0,API_CALL,
1,Which political party has been the governing party of Singapore since 1959?,SG,government_politics,wikidata,political party governing party singapore Singapore,0,API_CALL,
1,Which political party has been the governing party of Singapore since 1959?,SG,government_politics,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
1,Which political party has been the governing party of Singapore since 1959?,SG,government_politics,wikivoyageapi,SG,0,API_CALL,
1,Which political party has been the governing party of Singapore since 1959?,SG,government_politics,wikidata,Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikipediaapi,singapore official mascot mythical creature Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikivoyageapi,singapore official mascot mythical creature Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikidata,singapore official mascot mythical creature Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikipediaapi,official mascot Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikivoyageapi,official mascot Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikidata,official mascot Singapore,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikivoyageapi,SG,0,API_CALL,
2,"What is Singapore's official mascot, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikidata,Singapore,0,API_CALL,
3,"What is the name of Singapore's main international airport, which is often voted one of the best airports in the world?",SG,infrastructure_transportation,wikipediaapi,name singapore main international airport Singapore,0,API_CALL,
3,"What is the name of Singapore's main international airport, which is often voted one of the best airports in the world?",SG,infrastructure_transportation,wikivoyageapi,name singapore main international airport Singapore,0,API_CALL,
3,"What is the name of Singapore's main international airport, which is often voted one of the best airports in the world?",SG,infrastructure_transportation,wikidata,name singapore main international airport Singapore,0,API_CALL,
3,"What is the name of Singapore's main international airport, which is often voted one of the best airports in the world?",SG,infrastructure_transportation,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
3,"What is the name of Singapore's main international airport, which is often voted one of the best airports in the world?",SG,infrastructure_transportation,wikivoyageapi,SG,0,API_CALL,
3,"What is the name of Singapore's main international airport, which is often voted one of the best airports in the world?",SG,infrastructure_transportation,wikidata,Singapore,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikipediaapi,singapore celebrates national day every Singapore,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikivoyageapi,singapore celebrates national day every Singapore,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikidata,singapore celebrates national day every Singapore,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikipediaapi,national day Singapore,1,API_CALL,National Day (Singapore)
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikivoyageapi,national day Singapore,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikidata,national day Singapore,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikivoyageapi,SG,0,API_CALL,
4,Singapore celebrates National Day every year in which month?,SG,holidays_festivals,wikidata,Singapore,0,API_CALL,
5,"Which iconic Singapore arts center is better known as the ""big durian""?",SG,food_drink,wikipediaapi,iconic singapore arts center better Singapore,0,API_CALL,
5,"Which iconic Singapore arts center is better known as the ""big durian""?",SG,food_drink,wikivoyageapi,iconic singapore arts center better Singapore,0,API_CALL,
5,"Which iconic Singapore arts center is better known as the ""big durian""?",SG,food_drink,wikidata,iconic singapore arts center better Singapore,0,API_CALL,
5,"Which iconic Singapore arts center is better known as the ""big durian""?",SG,food_drink,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
5,"Which iconic Singapore arts center is better known as the ""big durian""?",SG,food_drink,wikivoyageapi,SG,0,API_CALL,
5,"Which iconic Singapore arts center is better known as the ""big durian""?",SG,food_drink,wikidata,Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,singapore official currency Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,singapore official currency Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,singapore official currency Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,official currency Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,official currency Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,official currency Singapore,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,SG,0,API_CALL,
6,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,Singapore,0,API_CALL,
7,What is the common abbreviation for public housing where most Singaporeans live?,SG,infrastructure_transportation,wikipediaapi,common abbreviation public housing most Singapore,0,API_CALL,
7,What is the common abbreviation for public housing where most Singaporeans live?,SG,infrastructure_transportation,wikivoyageapi,common abbreviation public housing most Singapore,0,API_CALL,
7,What is the common abbreviation for public housing where most Singaporeans live?,SG,infrastructure_transportation,wikidata,common abbreviation public housing most Singapore,0,API_CALL,
7,What is the common abbreviation for public housing where most Singaporeans live?,SG,infrastructure_transportation,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
7,What is the common abbreviation for public housing where most Singaporeans live?,SG,infrastructure_transportation,wikivoyageapi,SG,0,API_CALL,
7,What is the common abbreviation for public housing where most Singaporeans live?,SG,infrastructure_transportation,wikidata,Singapore,0,API_CALL,
8,Which political party has been the ruling party of Singapore since 1959?,SG,government_politics,wikipediaapi,political party ruling party singapore Singapore,0,API_CALL,
8,Which political party has been the ruling party of Singapore since 1959?,SG,government_politics,wikivoyageapi,political party ruling party singapore Singapore,0,API_CALL,
8,Which political party has been the ruling party of Singapore since 1959?,SG,government_politics,wikidata,political party ruling party singapore Singapore,0,API_CALL,
8,Which political party has been the ruling party of Singapore since 1959?,SG,government_politics,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
8,Which political party has been the ruling party of Singapore since 1959?,SG,government_politics,wikivoyageapi,SG,0,API_CALL,
8,Which political party has been the ruling party of Singapore since 1959?,SG,government_politics,wikidata,Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikipediaapi,singapore official symbol mythical creature Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikivoyageapi,singapore official symbol mythical creature Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikidata,singapore official symbol mythical creature Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikipediaapi,official symbol Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikivoyageapi,official symbol Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikidata,official symbol Singapore,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikivoyageapi,SG,0,API_CALL,
9,"What is Singapore's official symbol, a mythical creature with a lion's head and a fish's body?",SG,food_drink,wikidata,Singapore,0,API_CALL,
10,"What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?",SG,infrastructure_transportation,wikipediaapi,name singapore main international airport Singapore,0,API_CALL,
10,"What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?",SG,infrastructure_transportation,wikivoyageapi,name singapore main international airport Singapore,0,API_CALL,
10,"What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?",SG,infrastructure_transportation,wikidata,name singapore main international airport Singapore,0,API_CALL,
10,"What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?",SG,infrastructure_transportation,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
10,"What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?",SG,infrastructure_transportation,wikivoyageapi,SG,0,API_CALL,
10,"What is the name of Singapore's main international airport, which is frequently voted as one of the best airports in the world?",SG,infrastructure_transportation,wikidata,Singapore,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikipediaapi,month singapore celebrate its national Singapore,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikivoyageapi,month singapore celebrate its national Singapore,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikidata,month singapore celebrate its national Singapore,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikipediaapi,national day Singapore,1,API_CALL,National Day (Singapore)
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikivoyageapi,national day Singapore,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikidata,national day Singapore,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikivoyageapi,SG,0,API_CALL,
11,In which month does Singapore celebrate its national day every year?,SG,holidays_festivals,wikidata,Singapore,0,API_CALL,
12,"What is the name of Singapore's iconic arts center, colloquially called ""big durians""?",SG,food_drink,wikipediaapi,name singapore iconic arts center Singapore,0,API_CALL,
12,"What is the name of Singapore's iconic arts center, colloquially called ""big durians""?",SG,food_drink,wikivoyageapi,name singapore iconic arts center Singapore,0,API_CALL,
12,"What is the name of Singapore's iconic arts center, colloquially called ""big durians""?",SG,food_drink,wikidata,name singapore iconic arts center Singapore,0,API_CALL,
12,"What is the name of Singapore's iconic arts center, colloquially called ""big durians""?",SG,food_drink,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
12,"What is the name of Singapore's iconic arts center, colloquially called ""big durians""?",SG,food_drink,wikivoyageapi,SG,0,API_CALL,
12,"What is the name of Singapore's iconic arts center, colloquially called ""big durians""?",SG,food_drink,wikidata,Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,singapore official currency Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,singapore official currency Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,singapore official currency Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,official currency Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,official currency Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,official currency Singapore,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,SG,0,API_CALL,
13,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,Singapore,0,API_CALL,
14,What is the common abbreviation for public housing where most Singapore residents live?,SG,infrastructure_transportation,wikipediaapi,common abbreviation public housing most Singapore,0,API_CALL,
14,What is the common abbreviation for public housing where most Singapore residents live?,SG,infrastructure_transportation,wikivoyageapi,common abbreviation public housing most Singapore,0,API_CALL,
14,What is the common abbreviation for public housing where most Singapore residents live?,SG,infrastructure_transportation,wikidata,common abbreviation public housing most Singapore,0,API_CALL,
14,What is the common abbreviation for public housing where most Singapore residents live?,SG,infrastructure_transportation,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
14,What is the common abbreviation for public housing where most Singapore residents live?,SG,infrastructure_transportation,wikivoyageapi,SG,0,API_CALL,
14,What is the common abbreviation for public housing where most Singapore residents live?,SG,infrastructure_transportation,wikidata,Singapore,0,API_CALL,
15,Which political party has been Singapore's ruling party since 1959?,SG,government_politics,wikipediaapi,political party singapore ruling party Singapore,0,API_CALL,
15,Which political party has been Singapore's ruling party since 1959?,SG,government_politics,wikivoyageapi,political party singapore ruling party Singapore,0,API_CALL,
15,Which political party has been Singapore's ruling party since 1959?,SG,government_politics,wikidata,political party singapore ruling party Singapore,0,API_CALL,
15,Which political party has been Singapore's ruling party since 1959?,SG,government_politics,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
15,Which political party has been Singapore's ruling party since 1959?,SG,government_politics,wikivoyageapi,SG,0,API_CALL,
15,Which political party has been Singapore's ruling party since 1959?,SG,government_politics,wikidata,Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikipediaapi,singapore official mascot mythical creature Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikivoyageapi,singapore official mascot mythical creature Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikidata,singapore official mascot mythical creature Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikipediaapi,official mascot Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikivoyageapi,official mascot Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikidata,official mascot Singapore,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikivoyageapi,SG,0,API_CALL,
16,What is Singapore's official mascot? It is a mythical creature with a lion's head and a fish's body.,SG,food_drink,wikidata,Singapore,0,API_CALL,
17,What is Singapore's main international airport? It is frequently rated as one of the best airports in the world.,SG,infrastructure_transportation,wikipediaapi,singapore main international airport frequently Singapore,0,API_CALL,
17,What is Singapore's main international airport? It is frequently rated as one of the best airports in the world.,SG,infrastructure_transportation,wikivoyageapi,singapore main international airport frequently Singapore,0,API_CALL,
17,What is Singapore's main international airport? It is frequently rated as one of the best airports in the world.,SG,infrastructure_transportation,wikidata,singapore main international airport frequently Singapore,0,API_CALL,
17,What is Singapore's main international airport? It is frequently rated as one of the best airports in the world.,SG,infrastructure_transportation,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
17,What is Singapore's main international airport? It is frequently rated as one of the best airports in the world.,SG,infrastructure_transportation,wikivoyageapi,SG,0,API_CALL,
17,What is Singapore's main international airport? It is frequently rated as one of the best airports in the world.,SG,infrastructure_transportation,wikidata,Singapore,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikipediaapi,month singapore celebrate its national Singapore,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikivoyageapi,month singapore celebrate its national Singapore,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikidata,month singapore celebrate its national Singapore,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikipediaapi,national day Singapore,1,API_CALL,National Day (Singapore)
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikivoyageapi,national day Singapore,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikidata,national day Singapore,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikivoyageapi,SG,0,API_CALL,
18,In which month does Singapore celebrate its National Day every year?,SG,holidays_festivals,wikidata,Singapore,0,API_CALL,
19,"Which iconic arts center in Singapore is colloquially known as the ""big durian""?",SG,food_drink,wikipediaapi,iconic arts center singapore colloquially Singapore,0,API_CALL,
19,"Which iconic arts center in Singapore is colloquially known as the ""big durian""?",SG,food_drink,wikivoyageapi,iconic arts center singapore colloquially Singapore,0,API_CALL,
19,"Which iconic arts center in Singapore is colloquially known as the ""big durian""?",SG,food_drink,wikidata,iconic arts center singapore colloquially Singapore,0,API_CALL,
19,"Which iconic arts center in Singapore is colloquially known as the ""big durian""?",SG,food_drink,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
19,"Which iconic arts center in Singapore is colloquially known as the ""big durian""?",SG,food_drink,wikivoyageapi,SG,0,API_CALL,
19,"Which iconic arts center in Singapore is colloquially known as the ""big durian""?",SG,food_drink,wikidata,Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,singapore official currency Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,singapore official currency Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,singapore official currency Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,official currency Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,official currency Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,official currency Singapore,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikipediaapi,Singapore,10,API_CALL,"Singapore, Singapore Airlines, Singapore Airlines Flight 006, Singapore Armed Forces, Singapore English, Singapore Grand Prix, Singapore Police Force, Singapore Premier League, Singapore dollar, Singapore national football team"
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikivoyageapi,SG,0,API_CALL,
20,What is Singapore's official currency?,SG,economy_currency_symbols,wikidata,Singapore,0,API_CALL,
21,Which is the most populated city in Ecuador?,EC,others,wikipediaapi,most populated city ecuador Ecuador,0,API_CALL,
21,Which is the most populated city in Ecuador?,EC,others,wikivoyageapi,most populated city ecuador Ecuador,0,API_CALL,
21,Which is the most populated city in Ecuador?,EC,others,wikidata,most populated city ecuador Ecuador,0,API_CALL,
21,Which is the most populated city in Ecuador?,EC,others,wikipediaapi,Ecuador,10,API_CALL,"Ecuador, Ecuador at beauty pageants, Ecuador at the 2023 Pan American Games, Ecuador national football team, Ecuador women's national football team, Ecuadorian conflict (2024–present), Ecuadorian security crisis, Ecuadorians, Ecuadorian–Peruvian War, Ecuadorian–Peruvian territorial dispute"
21,Which is the most populated city in Ecuador?,EC,others,wikivoyageapi,EC,1,API_CALL,Ecuador
21,Which is the most populated city in Ecuador?,EC,others,wikidata,Ecuador,0,API_CALL,
