id,question,predicted,correct,country,category,evidence,suggestions
es-EC_023,How many provinces does Ecuador have?,B,C,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-EC_025,What name does Ecuador receive for its geographic and cultural diversity?,C,B,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-EC_026,What is Ecuador's official currency since the year 2000?,B,C,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-EC_029,Which Ecuadorian athlete won the first gold medal for the country at the Olympics?,B,A,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
zh-CN_039,"Which river is China's ""Mother River""?",A,B,CN,knowledge_gap,Sparse coverage: Only 0 chunks for CN,Add more entity pages for CN
es-MX_049,What is the most typical street food in the country?,B,C,MX,knowledge_gap,Sparse coverage: Only 6 chunks for MX,Add more entity pages for MX
ko-KR_056,Which is NOT a traditional Korean play?,C,B,KR,knowledge_gap,Sparse coverage: Only 0 chunks for KR,Add more entity pages for KR
ko-KR_058,What food is famous as something eaten on moving day in Korea?,D,B,KR,knowledge_gap,Sparse coverage: Only 0 chunks for KR,Add more entity pages for KR
ko-KR_059,What area of Korea do people studying for the civil service exam mainly live?,D,C,KR,knowledge_gap,Sparse coverage: Only 0 chunks for KR,Add more entity pages for KR
el-GR_062,What do we celebrate on October 28?,B,D,GR,knowledge_gap,Sparse coverage: Only 0 chunks for GR,Add more entity pages for GR
fa-IR_067,What colors are in the Iranian flag?,A,D,IR,knowledge_gap,Sparse coverage: Only 0 chunks for IR,Add more entity pages for IR
ar-EG_074,On what day of October did Egypt enter the most famous war in its modern history?,B,C,EG,knowledge_gap,Sparse coverage: Only 8 chunks for EG,Add more entity pages for EG
ar-SA_084,Which region of Saudi Arabia is famous for growing mangoes during the summer?,B,D,SA,reasoning_failure,Correct answer 'Jizan...' found in retrieved context,"Consider: Better prompting, few-shot examples, or CoT reasoning"
ar-SA_085,"Who is the artist known as the ""Artist of the Arabs"" in Saudi Arabia?",C,B,SA,knowledge_gap,Question asks about recent/current information,Wikipedia may be outdated for current events
ar-SA_088,Who is the best Saudi player currently at Al-Hilal Saudi Club?,A,B,SA,knowledge_gap,Question asks about recent/current information,Wikipedia may be outdated for current events
eu-ES_100,What is the most followed sport in the Basque Country?,A,B,ES,retrieval_failure,No substantial context retrieved,Check if entity pages exist in KB; Consider expanding scraper coverage
eu-ES_104,What is the most well-known newspaper written in the local language in the Basque Country?,A,B,ES,knowledge_gap,Question asks about recent/current information,Wikipedia may be outdated for current events
fr-FR_105,What will I do with this lark?,D,A,FR,knowledge_gap,Sparse coverage: Only 6 chunks for FR,Add more entity pages for FR
fr-FR_108,What do ducks do first when coming out of the water?,B,C,FR,knowledge_gap,Sparse coverage: Only 6 chunks for FR,Add more entity pages for FR
fr-FR_110,"That year, I sang...",A,C,FR,knowledge_gap,Sparse coverage: Only 6 chunks for FR,Add more entity pages for FR
fr-FR_111,What cheese is most often eaten hot with a salad?,A,C,FR,knowledge_gap,Sparse coverage: Only 6 chunks for FR,Add more entity pages for FR
fr-FR_112,What fruit changes its name when dried?,D,C,FR,knowledge_gap,Sparse coverage: Only 6 chunks for FR,Add more entity pages for FR
ta-LK_124,Which animal appears on Sri Lanka's national flag?,D,A,LK,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
bg-BG_136,What is Bulgaria's national holiday?,C,A,BG,knowledge_gap,Sparse coverage: Only 4 chunks for BG,Add more entity pages for BG
bg-BG_138,"Which Bulgarian revolutionary is known as the ""Apostle of Freedom""?",D,A,BG,knowledge_gap,Sparse coverage: Only 4 chunks for BG,Add more entity pages for BG
bg-BG_140,"Who is the author of the novel ""Under the Yoke""?",A,C,BG,knowledge_gap,Sparse coverage: Only 4 chunks for BG,Add more entity pages for BG
