id	answer
Al-en-01_0	D
Al-en-01_1	C
Al-en-01_2	C
Al-en-01_3	D
Al-en-01_4	C
Al-en-01_5	C
Al-en-01_6	C
Al-en-01_7	C
Al-en-01_8	C
Al-en-01_9	D
Al-en-01_10	C
Al-en-01_11	C
Al-en-01_12	C
Al-en-01_13	B
Al-en-01_14	C
Al-en-01_15	B
Al-en-01_16	B
Al-en-01_17	B
Al-en-01_18	C
Al-en-01_19	B
Al-en-01_20	B
Al-en-01_21	B
Al-en-01_22	C
Al-en-01_23	C
Al-en-01_24	C
Al-en-01_25	B
Al-en-01_26	B
Al-en-01_27	B
Al-en-01_28	C
Al-en-01_29	C
Al-en-01_30	D
Al-en-01_31	C
Al-en-01_32	C
Al-en-01_33	C
Al-en-01_34	B
Al-en-01_35	C
Al-en-01_36	B
Al-en-01_37	B
Al-en-01_38	B
Al-en-01_39	C
Al-en-01_40	B
Al-en-01_41	B
Al-en-01_42	B
Al-en-01_43	C
Al-en-01_44	C
Al-en-01_45	C
Al-en-01_46	B
Al-en-01_47	B
Al-en-01_48	B
Al-en-01_49	B
Al-en-01_50	C
Al-en-01_51	B
Al-en-01_52	B
Al-en-01_53	B
Al-en-01_54	C
Al-en-01_55	B
Al-en-01_56	B
Al-en-01_57	B
Al-en-01_58	C
Al-en-01_59	C
Al-en-01_60	C
Al-en-01_61	B
Al-en-01_62	B
Al-en-01_63	B
Al-en-01_64	B
Al-en-01_65	A
Al-en-01_66	A
Al-en-01_67	A
Al-en-01_68	B
Al-en-01_69	B
Al-en-01_70	B
Al-en-01_71	A
Al-en-01_72	A
Al-en-01_73	A
Al-en-01_74	B
Al-en-01_75	B
Al-en-01_76	B
Al-en-01_77	A
Al-en-01_78	A
Al-en-01_79	A
Al-en-01_80	B
Al-en-01_81	B
Al-en-01_82	B
Al-en-01_83	A
Al-en-01_84	A
Al-en-01_85	A
Al-en-01_86	A
Al-en-01_87	A
Al-en-01_88	A
Al-en-01_89	A
Al-en-01_90	A
Al-en-01_91	A
Al-en-01_92	A
Al-en-01_93	A
Al-en-01_94	A
Al-en-01_95	A
Al-en-01_96	A
Al-en-01_97	A
Al-en-01_98	A
Al-en-01_99	A
Al-en-01_100	A
Al-en-01_101	A
Al-en-01_102	A
Al-en-01_103	A
Al-en-01_104	A
Al-en-01_105	A
Al-en-01_106	A
Al-en-01_107	A
Al-en-01_108	A
Al-en-01_109	A
Al-en-01_110	A
Al-en-01_111	A
Al-en-01_112	A
Al-en-01_113	A
Al-en-01_114	A
Al-en-01_115	A
Al-en-01_116	A
Al-en-01_117	A
Al-en-01_118	A
Al-en-01_119	A
Al-en-01_120	A
Al-en-01_121	A
Al-en-01_122	A
Al-en-01_123	A
Al-en-01_124	A
Al-en-01_125	A
Al-en-01_126	A
Al-en-01_127	A
Al-en-01_128	A
Al-en-01_129	A
Al-en-01_130	A
Al-en-01_131	A
Al-en-01_132	A
Al-en-01_133	A
Al-en-01_134	A
Al-en-01_135	A
Al-en-01_136	A
Al-en-01_137	A
Al-en-01_138	A
Al-en-01_139	A
Al-en-01_140	A
Al-en-01_141	A
Al-en-01_142	A
Al-en-01_143	A
Al-en-01_144	A
Al-en-01_145	A
Al-en-01_146	A
Al-en-01_147	A
Al-en-01_148	A
Al-en-01_149	A
Al-en-01_150	A
Al-en-01_151	A
Al-en-01_152	A
Al-en-01_153	A
Al-en-01_154	A
Al-en-01_155	A
Al-en-01_156	A
Al-en-01_157	A
Al-en-01_158	A
Al-en-01_159	A
Al-en-01_160	A
Al-en-01_161	A
Al-en-01_162	A
Al-en-01_163	A
Al-en-01_164	A
Al-en-01_165	A
Al-en-01_166	A
Al-en-01_167	A
Al-en-01_168	D
Al-en-01_169	D
Al-en-01_170	D
Al-en-01_171	C
Al-en-01_172	C
Al-en-01_173	C
Al-en-01_174	C
Al-en-01_175	D
Al-en-01_176	D
Al-en-01_177	C
Al-en-01_178	C
Al-en-01_179	C
Al-en-01_180	C
Al-en-01_181	D
Al-en-01_182	C
Al-en-01_183	C
Al-en-01_184	C
Al-en-01_185	C
Al-en-01_186	C
Al-en-01_187	C
Al-en-01_188	C
Al-en-01_189	C
Al-en-01_190	B
Al-en-01_191	B
Al-en-01_192	B
Al-en-01_193	B
Al-en-01_194	B
Al-en-01_195	B
Al-en-01_196	D
Al-en-01_197	D
Al-en-01_198	C
Al-en-01_199	C
Al-en-01_200	C
Al-en-01_201	C
Al-en-01_202	D
Al-en-01_203	C
Al-en-01_204	C
Al-en-01_205	C
Al-en-01_206	C
Al-en-01_207	C
Al-en-01_208	C
Al-en-01_209	C
Al-en-01_210	C
Al-en-01_211	B
Al-en-01_212	B
Al-en-01_213	B
Al-en-01_214	B
Al-en-01_215	B
Al-en-01_216	B
Al-en-01_217	D
Al-en-01_218	C
Al-en-01_219	C
Al-en-01_220	C
Al-en-01_221	C
Al-en-01_222	C
Al-en-01_223	C
Al-en-01_224	C
Al-en-01_225	C
Al-en-01_226	B
Al-en-01_227	B
Al-en-01_228	B
Al-en-01_229	B
Al-en-01_230	B
Al-en-01_231	B
Al-en-01_232	C
Al-en-01_233	C
Al-en-01_234	C
Al-en-01_235	C
Al-en-01_236	B
Al-en-01_237	B
Al-en-01_238	B
Al-en-01_239	B
Al-en-01_240	B
Al-en-01_241	B
Al-en-01_242	B
Al-en-01_243	B
Al-en-01_244	B
Al-en-01_245	B
Al-en-01_246	B
Al-en-01_247	B
Al-en-01_248	A
Al-en-01_249	A
Al-en-01_250	A
Al-en-01_251	A
Al-en-01_252	B
Al-en-01_253	C
Al-en-01_254	B
Al-en-01_255	B
Al-en-01_256	B
Al-en-01_257	B
Al-en-01_258	B
Al-en-01_259	B
Al-en-01_260	A
Al-en-01_261	A
Al-en-01_262	A
Al-en-01_263	A
Al-en-01_264	A
Al-en-01_265	B
Al-en-01_266	B
Al-en-01_267	B
Al-en-01_268	B
Al-en-01_269	B
Al-en-01_270	A
Al-en-01_271	A
Al-en-01_272	A
Al-en-01_273	A
Al-en-01_274	A
Al-en-01_275	A
Al-en-01_276	A
Al-en-01_277	A
Al-en-01_278	A
Al-en-01_279	A
Al-en-01_280	C
Al-en-01_281	B
Al-en-01_282	B
Al-en-01_283	B
Al-en-01_284	B
Al-en-01_285	B
Al-en-01_286	C
Al-en-01_287	C
Al-en-01_288	C
Al-en-01_289	C
Al-en-01_290	C
Al-en-01_291	B
Al-en-01_292	B
Al-en-01_293	B
Al-en-01_294	B
Al-en-01_295	B
Al-en-01_296	B
Al-en-01_297	B
Al-en-01_298	B
Al-en-01_299	B
Al-en-01_300	B
Al-en-01_301	B
Al-en-01_302	B
Al-en-01_303	B
Al-en-01_304	B
Al-en-01_305	B
Al-en-01_306	A
Al-en-01_307	A
Al-en-01_308	A
Al-en-01_309	A
Al-en-01_310	A
Al-en-01_311	A
Al-en-01_312	A
Al-en-01_313	A
Al-en-01_314	A
Al-en-01_315	A
Al-en-01_316	B
Al-en-01_317	B
Al-en-01_318	B
Al-en-01_319	B
Al-en-01_320	B
Al-en-01_321	B
Al-en-01_322	B
Al-en-01_323	B
Al-en-01_324	B
Al-en-01_325	B
Al-en-01_326	A
Al-en-01_327	A
Al-en-01_328	A
Al-en-01_329	A
Al-en-01_330	A
Al-en-01_331	A
Al-en-01_332	A
Al-en-01_333	A
Al-en-01_334	A
Al-en-01_335	A
Al-en-01_336	D
Al-en-01_337	C
Al-en-01_338	C
Al-en-01_339	C
Al-en-01_340	C
Al-en-01_341	C
Al-en-01_342	C
Al-en-01_343	B
Al-en-01_344	B
Al-en-01_345	B
Al-en-01_346	C
Al-en-01_347	C
Al-en-01_348	C
Al-en-01_349	B
Al-en-01_350	B
Al-en-01_351	B
Al-en-01_352	B
Al-en-01_353	B
Al-en-01_354	B
Al-en-01_355	A
Al-en-01_356	B
Al-en-01_357	B
Al-en-01_358	B
Al-en-01_359	B
Al-en-01_360	B
Al-en-01_361	B
Al-en-01_362	A
Al-en-01_363	A
Al-en-01_364	A
Al-en-01_365	A
Al-en-01_366	A
Al-en-01_367	A
Al-en-01_368	A
Al-en-01_369	A
Al-en-01_370	A
Al-en-01_371	A
Al-en-01_372	A
Al-en-01_373	A
Al-en-01_374	A
Al-en-01_375	A
Al-en-01_376	A
Al-en-01_377	B
Al-en-01_378	B
Al-en-01_379	B
Al-en-01_380	B
Al-en-01_381	B
Al-en-01_382	B
Al-en-01_383	B
Al-en-01_384	B
Al-en-01_385	B
Al-en-01_386	B
Al-en-01_387	B
Al-en-01_388	B
Al-en-01_389	B
Al-en-01_390	B
Al-en-01_391	B
Al-en-01_392	A
Al-en-01_393	A
Al-en-01_394	A
Al-en-01_395	A
Al-en-01_396	A
Al-en-01_397	A
Al-en-01_398	A
Al-en-01_399	A
Al-en-01_400	A
Al-en-01_401	A
