id	answer
en-GB_0001	D
en-GB_0002	C
en-GB_0003	C
en-GB_0004	D
en-GB_0005	C
en-GB_0006	C
en-GB_0007	C
en-GB_0008	C
en-GB_0009	C
en-GB_0010	D
en-GB_0011	C
en-GB_0012	C
en-GB_0013	C
en-GB_0014	B
en-GB_0015	C
en-GB_0016	B
en-GB_0017	B
en-GB_0018	B
en-GB_0019	C
en-GB_0020	B
en-GB_0021	B
en-GB_0022	B
en-GB_0023	C
en-GB_0024	C
en-GB_0025	C
en-GB_0026	B
en-GB_0027	B
en-GB_0028	B
en-GB_0029	C
en-GB_0030	C
en-GB_0031	D
en-GB_0032	C
en-GB_0033	C
en-GB_0034	C
en-GB_0035	B
en-GB_0036	C
en-GB_0037	B
en-GB_0038	B
en-GB_0039	B
en-GB_0040	C
en-GB_0041	B
en-GB_0042	B
en-GB_0043	B
en-GB_0044	C
en-GB_0045	C
en-GB_0046	C
en-GB_0047	B
en-GB_0048	B
en-GB_0049	B
en-GB_0050	B
en-GB_0051	C
en-GB_0052	B
en-GB_0053	B
en-GB_0054	B
en-GB_0055	C
en-GB_0056	B
en-GB_0057	B
en-GB_0058	B
en-GB_0059	C
en-GB_0060	C
en-GB_0061	C
en-GB_0062	B
en-GB_0063	B
en-GB_0064	B
en-GB_0065	B
en-GB_0066	A
en-GB_0067	A
en-GB_0068	A
en-GB_0069	B
en-GB_0070	B
en-GB_0071	B
en-GB_0072	A
en-GB_0073	A
en-GB_0074	A
en-GB_0075	B
en-GB_0076	B
en-GB_0077	B
en-GB_0078	A
en-GB_0079	A
en-GB_0080	A
en-GB_0081	B
en-GB_0082	B
en-GB_0083	B
en-GB_0084	A
en-GB_0085	A
en-GB_0086	A
en-GB_0087	A
en-GB_0088	A
en-GB_0089	A
en-GB_0090	A
en-GB_0091	A
en-GB_0092	A
en-GB_0093	A
en-GB_0094	A
en-GB_0095	A
en-GB_0096	A
en-GB_0097	A
en-GB_0098	A
en-GB_0099	A
en-GB_0100	A
en-GB_0101	A
en-GB_0102	A
en-GB_0103	A
en-GB_0104	A
en-GB_0105	A
en-GB_0106	A
en-GB_0107	A
en-GB_0108	A
en-GB_0109	A
en-GB_0110	A
en-GB_0111	A
en-GB_0112	A
en-GB_0113	A
en-GB_0114	A
en-GB_0115	A
en-GB_0116	A
en-GB_0117	A
en-GB_0118	A
en-GB_0119	A
en-GB_0120	A
en-GB_0121	A
en-GB_0122	A
en-GB_0123	A
en-GB_0124	A
en-GB_0125	A
en-GB_0126	A
en-GB_0127	A
en-GB_0128	A
en-GB_0129	A
en-GB_0130	A
en-GB_0131	A
en-GB_0132	A
en-GB_0133	A
en-GB_0134	A
en-GB_0135	A
en-GB_0136	A
en-GB_0137	A
en-GB_0138	A
en-GB_0139	A
en-GB_0140	A
en-GB_0141	A
en-GB_0142	A
en-GB_0143	A
en-GB_0144	A
en-GB_0145	A
en-GB_0146	A
en-GB_0147	A
en-GB_0148	A
en-GB_0149	A
en-GB_0150	A
en-GB_0151	A
en-GB_0152	A
en-GB_0153	A
en-GB_0154	A
en-GB_0155	A
en-GB_0156	A
en-GB_0157	A
en-GB_0158	A
en-GB_0159	A
en-GB_0160	A
en-GB_0161	A
en-GB_0162	A
en-GB_0163	A
en-GB_0164	A
en-GB_0165	A
en-GB_0166	A
en-GB_0167	A
en-GB_0168	A
en-US_0001	D
en-US_0002	D
en-US_0003	D
